order_id,order_time,delivery_time,product,category,quantity,price_per_unit,total_price,customer_rating,customer_review
f55b4d14-3758-4191-a2c4-14ba7221bfe7,2023-01-19 22:09:33.809688,2023-01-19 22:40:33.809688,Potato,Vegetables,1,15,15,4,Product arrived earlier than expected.
20a18678-985f-4c74-82ee-8fc8ee3103b7,2023-02-25 02:30:54.475550,2023-02-25 02:48:54.475550,Orange,Fruits,5,30,150,3,"Product was okay, nothing special."
79b4735f-0350-4283-be08-d4cb734c5756,2023-02-02 09:27:58.845645,2023-02-02 09:59:58.845645,Nuts,Snacks,1,200,200,3,Decent product for the price paid.
6e15cd25-a4ad-4b1a-9416-26c7f1c07f02,2023-05-03 05:16:00.116522,2023-05-03 05:55:00.116522,Milk,Dairy,4,50,200,2,Quality did not match the description.
c75d8df2-11d4-4416-a3dc-a5060599caa4,2023-04-09 22:33:53.939336,2023-04-09 22:54:53.939336,Banana,Fruits,3,10,30,2,Not satisfied with the quality.
15e8c1f1-4034-4467-80bf-3ff3b0bad143,2023-03-18 13:34:01.882063,2023-03-18 13:56:01.882063,Chocolate,Snacks,3,150,450,5,Great quality and fresh!
2c018360-612b-4c80-9bb9-af5a2c43720a,2023-05-17 22:17:07.903398,2023-05-17 22:49:07.903398,Carrot,Vegetables,3,25,75,3,Decent product for the price paid.
f83479fc-e9b6-4873-9c35-bd5f32e4b0f3,2023-01-25 19:34:53.592719,2023-01-25 20:06:53.592719,Cookies,Snacks,3,40,120,5,Five stars for both product and delivery!
edf9286d-4f0e-44cc-b74f-15d092eadffe,2023-01-21 21:53:09.766240,2023-01-21 22:30:09.766240,Cookies,Snacks,2,40,80,3,"It’s fine, but not a standout."
c04c8bee-a4c5-4e2a-842c-4f8babd39640,2023-05-11 03:19:56.011963,2023-05-11 04:01:56.011963,Paneer,Dairy,3,120,360,3,"Average quality, could be better."
21922289-b7b1-41d9-938a-a7178c3fedc9,2023-06-07 04:02:47.904439,2023-06-07 04:27:47.904439,Nuts,Snacks,3,200,600,3,Satisfactory experience overall.
ce56da50-9473-4214-acc3-ce224caf65e9,2023-03-03 03:03:08.246413,2023-03-03 03:28:08.246413,Yogurt,Dairy,1,60,60,4,Five stars for both product and delivery!
cd2219af-9b2b-4e58-9f3f-516fdd152ae9,2023-03-28 11:21:06.190390,2023-03-28 12:03:06.190390,Tomato,Vegetables,1,20,20,4,Loved the freshness and packaging.
dd0f0533-59e0-49b0-9e9d-903fac1b17bd,2023-05-06 00:57:36.470973,2023-05-06 01:37:36.470973,Chips,Snacks,3,30,90,5,"Excellent product, worth the price."
fc0b2024-7e47-4ed0-b237-0792497536a4,2023-03-31 11:39:04.193070,2023-03-31 12:01:04.193070,Cookies,Snacks,3,40,120,4,"Absolutely perfect, no complaints."
152c1f80-069b-47a6-bf2f-ffad0c668888,2023-01-02 15:15:55.589495,2023-01-02 15:56:55.589495,Yogurt,Dairy,4,60,240,5,Product arrived earlier than expected.
7c7384b5-ecf3-42b3-aaf5-f5fd99eb9ccf,2023-04-20 12:08:46.252662,2023-04-20 12:29:46.252662,Onion,Vegetables,1,18,18,3,The packaging could be improved.
822d3940-11f7-41df-91ec-cad586ec337c,2023-04-02 22:17:34.264883,2023-04-02 22:43:34.264883,Tea,Beverages,4,100,400,2,The product was damaged on arrival.
5b8528cf-259c-4727-afc2-7f0beab3e447,2023-05-29 10:46:34.110463,2023-05-29 11:05:34.110463,Nuts,Snacks,1,200,200,4,"Fast delivery, very satisfied."
1ef66840-86b4-49f4-9f3f-1c104e8b4244,2023-05-11 10:15:23.050522,2023-05-11 10:35:23.050522,Milk,Dairy,2,50,100,3,"Delivery was on time, product met expectations."
3ce53244-e94f-4ff1-82f0-7d49a4051c21,2023-03-12 05:17:58.035437,2023-03-12 05:39:58.035437,Apple,Fruits,5,40,200,4,Great quality and fresh!
f5348639-08ec-4854-8b44-25ea5c4dee70,2023-05-01 19:49:17.409477,2023-05-01 20:12:17.409477,Carrot,Vegetables,3,25,75,1,Packaging was torn and messy.
5d934340-5e4f-4b77-853c-ec8f29237cca,2023-05-19 22:33:50.566225,2023-05-19 23:05:50.566225,Tomato,Vegetables,4,20,80,3,The packaging could be improved.
513f16db-a9e4-495d-9b51-9e50f8e0702b,2023-01-28 16:05:45.092787,2023-01-28 16:42:45.092787,Chocolate,Snacks,2,150,300,1,Expected better for the price.
1a71948e-11fa-4d04-9371-e68571f82860,2023-02-10 14:13:54.928720,2023-02-10 14:51:54.928720,Carrot,Vegetables,1,25,25,4,Loved the freshness and packaging.
dfb1d869-be29-4565-931e-2a5ee760c0a3,2023-05-17 23:14:20.619422,2023-05-17 23:46:20.619422,Onion,Vegetables,2,18,36,3,"It’s fine, but not a standout."
8f28b49d-7c6d-4f99-a5fe-93850255e2ea,2023-05-25 07:38:09.711665,2023-05-25 08:05:09.711665,Carrot,Vegetables,3,25,75,4,Great quality and fresh!
02d6518f-8c13-4977-8761-4080dc0cfaa1,2023-05-02 10:19:13.781845,2023-05-02 10:35:13.781845,Apple,Fruits,1,40,40,5,Loved the freshness and packaging.
186294e8-b263-4904-936e-e32ebd9fdeed,2023-01-28 03:00:00.044680,2023-01-28 03:19:00.044680,Tomato,Vegetables,3,20,60,5,"Consistently good quality, keeps me coming back."
1a14ab9e-7088-49a9-bff1-4419a6d37a37,2023-03-25 20:39:25.118035,2023-03-25 21:00:25.118035,Biscuits,Snacks,5,35,175,3,Meets the basic requirements.
6aef4303-41dd-4cb7-ae82-7da215d7a2a4,2023-02-05 14:12:07.853936,2023-02-05 14:55:07.853936,Chips,Snacks,3,30,90,5,Loved the freshness and packaging.
de76ff34-4d28-4abc-9f59-ee489f346c8d,2023-04-21 15:56:00.692020,2023-04-21 16:24:00.692020,Soda,Beverages,3,40,120,4,"Will order again, highly recommended."
dca6b94f-f4fa-49f6-9020-5b72cd764e54,2023-03-20 09:49:45.526059,2023-03-20 10:26:45.526059,Cookies,Snacks,5,40,200,1,Packaging was torn and messy.
2340db43-ae7b-42aa-8b45-0e132da9d537,2023-02-01 16:35:55.104630,2023-02-01 17:20:55.104630,Potato,Vegetables,4,15,60,5,Very happy with this purchase!
fba854e2-4024-4293-b779-7871ea659131,2023-05-30 01:17:53.257627,2023-05-30 01:44:53.257627,Chocolate,Snacks,1,150,150,5,Five stars for both product and delivery!
6d972f06-772a-4d2e-9e42-e992af34bed7,2023-01-04 12:44:27.794220,2023-01-04 13:13:27.794220,Butter,Dairy,4,90,360,4,Five stars for both product and delivery!
24fc38ea-18a8-47ef-a56c-d83b74c2734f,2023-05-11 09:51:40.866359,2023-05-11 10:20:40.866359,Water,Beverages,4,20,80,3,"Nothing extraordinary, but it works."
b57ab3e3-47c0-4d6f-a3e5-53129428b5fb,2023-02-27 00:56:28.831211,2023-02-27 01:14:28.831211,Yogurt,Dairy,3,60,180,4,Five stars for both product and delivery!
f4f32077-1751-468e-ac25-dadaa1232d7b,2023-04-25 01:45:55.176032,2023-04-25 02:05:55.176032,Nuts,Snacks,5,200,1000,3,"Average quality, could be better."
59ae162a-754d-4fb6-bcf4-7be9212a72fb,2023-03-11 19:07:57.229072,2023-03-11 19:33:57.229072,Orange,Fruits,5,30,150,5,"Consistently good quality, keeps me coming back."
d997e65d-ef74-4b30-87b6-769843dc455f,2023-03-15 23:32:40.580775,2023-03-15 23:48:40.580775,Biscuits,Snacks,5,35,175,5,Loved the freshness and packaging.
f6d938aa-3ab6-4abd-8825-79879a09befb,2023-02-23 18:26:11.514050,2023-02-23 18:50:11.514050,Spinach,Vegetables,3,22,66,4,"Will order again, highly recommended."
b0bf848c-c158-4a96-a653-9e5673ca32b1,2023-01-08 16:41:32.173201,2023-01-08 17:19:32.173201,Tomato,Vegetables,5,20,100,3,"Not bad, but I have seen better elsewhere."
a117932c-9297-4813-943c-1669f0148740,2023-04-21 23:30:14.736653,2023-04-22 00:09:14.736653,Cheese,Dairy,1,100,100,5,Loved the freshness and packaging.
7f5e3375-f23f-4d6c-8482-804246a96fa7,2023-02-16 22:31:21.181543,2023-02-16 23:03:21.181543,Butter,Dairy,2,90,180,5,"Excellent product, worth the price."
c6904821-6d05-4a15-8d68-a7a8e1ee617e,2023-03-06 00:52:15.879862,2023-03-06 01:13:15.879862,Cheese,Dairy,4,100,400,3,The packaging could be improved.
f5b2672d-106a-4b9f-85a8-fbca7fece30f,2023-03-19 06:39:40.425785,2023-03-19 06:55:40.425785,Onion,Vegetables,4,18,72,4,Product arrived earlier than expected.
